Date,Open,High,Low,Close,Volume
03-Sep-15,1102000,1123000,1093000,1122000,303343
02-Sep-15,1069000,1095000,1065000,1090000,312121
01-Sep-15,1089000,1098000,1081000,1085000,237062
31-Aug-15,1071000,1089000,1052000,1089000,406006
28-Aug-15,1086000,1086000,1073000,1081000,458340
27-Aug-15,1082000,1086000,1063000,1067000,491893
26-Aug-15,1068000,1074000,1050000,1067000,552568
25-Aug-15,1079000,1107000,1067000,1079000,389313
24-Aug-15,1088000,1115000,1033000,1079000,445868
21-Aug-15,1099000,1128000,1096000,1101000,405850
20-Aug-15,1163000,1171000,1130000,1139000,215507
19-Aug-15,1169000,1176000,1141000,1154000,400088
18-Aug-15,1118000,1141000,1117000,1131000,223321
17-Aug-15,1140000,1141000,1104000,1104000,225734
13-Aug-15,1153000,1153000,1138000,1140000,149454
12-Aug-15,1150000,1164000,1140000,1154000,222497
11-Aug-15,1151000,1179000,1148000,1157000,228498
10-Aug-15,1140000,1142000,1130000,1141000,114013
07-Aug-15,1120000,1137000,1115000,1136000,254834
06-Aug-15,1155000,1156000,1115000,1115000,400091
05-Aug-15,1182000,1182000,1158000,1159000,248883
04-Aug-15,1175000,1187000,1170000,1182000,188260
03-Aug-15,1184000,1184000,1166000,1175000,190332
31-Jul-15,1220000,1222000,1175000,1185000,370146
30-Jul-15,1258000,1260000,1215000,1215000,307189
29-Jul-15,1250000,1275000,1231000,1263000,272169
28-Jul-15,1224000,1251000,1219000,1230000,252036
27-Jul-15,1229000,1247000,1228000,1230000,198204
24-Jul-15,1227000,1238000,1224000,1229000,194869
23-Jul-15,1244000,1253000,1234000,1234000,198639
22-Jul-15,1244000,1260000,1235000,1253000,266557
21-Jul-15,1275000,1277000,1247000,1263000,193474
20-Jul-15,1291000,1304000,1273000,1275000,127872
17-Jul-15,1300000,1311000,1278000,1305000,296710
16-Jul-15,1223000,1287000,1223000,1282000,217793
15-Jul-15,1225000,1238000,1224000,1235000,166863
14-Jul-15,1265000,1270000,1221000,1225000,367936
13-Jul-15,1250000,1266000,1266000,1266000,153144
10-Jul-15,1257000,1266000,1248000,1259000,174652
09-Jul-15,1230000,1265000,1226000,1265000,273889
08-Jul-15,1240000,1251000,1232000,1239000,215303
07-Jul-15,1220000,1259000,1220000,1240000,236882
06-Jul-15,1253000,1260000,1223000,1230000,195947
03-Jul-15,1287000,1294000,1267000,1268000,137705
02-Jul-15,1286000,1304000,1285000,1299000,151264
01-Jul-15,1268000,1302000,1259000,1295000,161559
30-Jun-15,1276000,1285000,1266000,1268000,197016
29-Jun-15,1269000,1285000,1256000,1281000,229023
26-Jun-15,1252000,1290000,1252000,1278000,206209
25-Jun-15,1290000,1303000,1269000,1269000,202288
24-Jun-15,1300000,1311000,1291000,1302000,195381
23-Jun-15,1309000,1328000,1291000,1321000,201743
22-Jun-15,1291000,1296000,1276000,1281000,124510
19-Jun-15,1266000,1278000,1260000,1266000,140114
18-Jun-15,1259000,1279000,1251000,1265000,153150
17-Jun-15,1250000,1266000,1240000,1254000,188735
16-Jun-15,1270000,1274000,1245000,1255000,254579
15-Jun-15,1255000,1274000,1255000,1270000,124242
12-Jun-15,1278000,1287000,1264000,1277000,214484
11-Jun-15,1263000,1274000,1253000,1257000,304790
10-Jun-15,1282000,1294000,1262000,1262000,249342
09-Jun-15,1300000,1310000,1268000,1282000,272092
08-Jun-15,1345000,1347000,1313000,1314000,197010
05-Jun-15,1325000,1355000,1320000,1341000,191117
04-Jun-15,1315000,1341000,1305000,1337000,387249
03-Jun-15,1303000,1316000,1265000,1273000,232650
02-Jun-15,1300000,1303000,1288000,1303000,174332
01-Jun-15,1300000,1301000,1288000,1291000,197323
29-May-15,1320000,1321000,1297000,1307000,336489
28-May-15,1317000,1321000,1301000,1309000,294025
27-May-15,1360000,1366000,1313000,1314000,340833
26-May-15,1366000,1369000,1336000,1362000,193453
22-May-15,1353000,1353000,1335000,1350000,163630
21-May-15,1371000,1372000,1344000,1352000,144012
20-May-15,1349000,1370000,1341000,1366000,205133
19-May-15,1321000,1355000,1307000,1338000,173093
18-May-15,1335000,1335000,1309000,1320000,181137
15-May-15,1355000,1356000,1321000,1326000,177644
14-May-15,1341000,1343000,1328000,1340000,168743
13-May-15,1349000,1349000,1326000,1333000,196668
12-May-15,1345000,1353000,1324000,1331000,212069
11-May-15,1360000,1360000,1336000,1336000,190643
08-May-15,1366000,1370000,1338000,1338000,188063
07-May-15,1362000,1375000,1354000,1370000,192100
06-May-15,1390000,1391000,1356000,1362000,264689
04-May-15,1407000,1423000,1397000,1400000,160479
30-Apr-15,1385000,1418000,1379000,1410000,352409
29-Apr-15,1367000,1394000,1364000,1385000,217050
28-Apr-15,1390000,1400000,1359000,1366000,312394
27-Apr-15,1410000,1411000,1375000,1395000,329573
24-Apr-15,1449000,1455000,1400000,1410000,379744
23-Apr-15,1470000,1470000,1440000,1451000,184422
22-Apr-15,1444000,1473000,1436000,1461000,252671
21-Apr-15,1421000,1445000,1420000,1444000,236011
20-Apr-15,1446000,1448000,1423000,1430000,244792
17-Apr-15,1477000,1478000,1447000,1450000,198920
16-Apr-15,1462000,1477000,1447000,1477000,209588
15-Apr-15,1460000,1470000,1427000,1446000,269985
14-Apr-15,1485000,1485000,1465000,1474000,188257
13-Apr-15,1479000,1491000,1468000,1479000,203599
10-Apr-15,1480000,1494000,1478000,1490000,188420
09-Apr-15,1470000,1489000,1470000,1483000,169552
08-Apr-15,1470000,1485000,1460000,1479000,153728
07-Apr-15,1478000,1485000,1462000,1462000,186226
06-Apr-15,1443000,1490000,1435000,1470000,209848
03-Apr-15,1434000,1440000,1420000,1434000,122227
02-Apr-15,1434000,1440000,1423000,1434000,134403
01-Apr-15,1437000,1437000,1420000,1423000,143996
31-Mar-15,1449000,1452000,1430000,1441000,196149
30-Mar-15,1425000,1434000,1412000,1428000,146025
27-Mar-15,1415000,1448000,1415000,1421000,310159
26-Mar-15,1450000,1456000,1421000,1421000,411450
25-Mar-15,1487000,1488000,1472000,1485000,180093
24-Mar-15,1455000,1478000,1455000,1476000,171267
23-Mar-15,1462000,1474000,1458000,1467000,154858
20-Mar-15,1475000,1480000,1460000,1464000,242525
19-Mar-15,1510000,1510000,1470000,1470000,247559
18-Mar-15,1496000,1506000,1486000,1503000,243666
17-Mar-15,1470000,1500000,1460000,1497000,272124
16-Mar-15,1458000,1487000,1455000,1470000,179303
13-Mar-15,1461000,1479000,1455000,1457000,181823
12-Mar-15,1460000,1473000,1447000,1447000,365442
11-Mar-15,1419000,1479000,1418000,1474000,407194
10-Mar-15,1434000,1443000,1420000,1421000,174618
09-Mar-15,1440000,1440000,1420000,1420000,141407
06-Mar-15,1414000,1449000,1406000,1442000,234312
05-Mar-15,1439000,1443000,1417000,1422000,191913
04-Mar-15,1411000,1440000,1410000,1437000,231146
03-Mar-15,1435000,1437000,1406000,1418000,251018
02-Mar-15,1375000,1423000,1367000,1423000,425208
27-Feb-15,1375000,1376000,1357000,1357000,251997
26-Feb-15,1379000,1380000,1368000,1375000,145978
25-Feb-15,1380000,1385000,1373000,1379000,161395
24-Feb-15,1385000,1389000,1364000,1367000,190630
23-Feb-15,1378000,1390000,1366000,1367000,303059
17-Feb-15,1374000,1377000,1364000,1377000,109601
16-Feb-15,1368000,1374000,1361000,1374000,122448
13-Feb-15,1360000,1361000,1345000,1361000,129733
12-Feb-15,1340000,1358000,1331000,1344000,211969
11-Feb-15,1374000,1374000,1354000,1355000,195578
10-Feb-15,1400000,1400000,1377000,1378000,130122
09-Feb-15,1360000,1399000,1357000,1395000,173539
06-Feb-15,1346000,1374000,1336000,1372000,154037
05-Feb-15,1359000,1369000,1346000,1358000,127415
04-Feb-15,1375000,1381000,1359000,1359000,185927
03-Feb-15,1380000,1380000,1359000,1366000,113050
02-Feb-15,1365000,1377000,1356000,1368000,197682
30-Jan-15,1360000,1377000,1360000,1365000,290431
29-Jan-15,1368000,1395000,1357000,1360000,253794
28-Jan-15,1386000,1390000,1374000,1378000,181784
27-Jan-15,1375000,1400000,1374000,1400000,198957
26-Jan-15,1375000,1395000,1364000,1389000,202924
23-Jan-15,1400000,1400000,1377000,1386000,254907
22-Jan-15,1398000,1399000,1378000,1378000,321030
21-Jan-15,1367000,1395000,1360000,1395000,296517
20-Jan-15,1350000,1372000,1345000,1372000,263665
19-Jan-15,1329000,1349000,1320000,1343000,132117
16-Jan-15,1334000,1334000,1313000,1316000,265856
15-Jan-15,1345000,1349000,1329000,1334000,246886
14-Jan-15,1339000,1355000,1335000,1345000,283081
13-Jan-15,1314000,1340000,1300000,1339000,240620
12-Jan-15,1313000,1319000,1301000,1316000,154351
09-Jan-15,1314000,1322000,1314000,1314000,166024
08-Jan-15,1339000,1339000,1310000,1314000,248432
07-Jan-15,1294000,1311000,1282000,1307000,283314
06-Jan-15,1315000,1317000,1288000,1295000,304365
05-Jan-15,1336000,1336000,1313000,1333000,201983
02-Jan-15,1340000,1340000,1327000,1330000,159886
30-Dec-14,1330000,1335000,1321000,1327000,211811
29-Dec-14,1345000,1347000,1329000,1329000,192508
26-Dec-14,1343000,1355000,1343000,1352000,226092
24-Dec-14,1339000,1343000,1339000,1343000,114026
23-Dec-14,1346000,1349000,1337000,1339000,213719
22-Dec-14,1345000,1347000,1318000,1345000,345741
19-Dec-14,1294000,1328000,1287000,1328000,292899
18-Dec-14,1266000,1279000,1252000,1266000,234196
17-Dec-14,1279000,1283000,1253000,1266000,250041
16-Dec-14,1270000,1289000,1268000,1279000,253907
15-Dec-14,1280000,1280000,1260000,1273000,284495
12-Dec-14,1303000,1304000,1274000,1286000,286304
11-Dec-14,1317000,1319000,1294000,1305000,401712
10-Dec-14,1346000,1346000,1317000,1317000,304944
09-Dec-14,1319000,1357000,1319000,1349000,269539
08-Dec-14,1303000,1321000,1302000,1319000,157879
05-Dec-14,1314000,1314000,1300000,1302000,94308
04-Dec-14,1302000,1303000,1298000,1300000,174845
03-Dec-14,1300000,1301000,1295000,1298000,176584
02-Dec-14,1295000,1295000,1266000,1295000,179222
01-Dec-14,1294000,1298000,1287000,1295000,256399
28-Nov-14,1295000,1296000,1274000,1287000,193564
27-Nov-14,1273000,1301000,1264000,1264000,843167
26-Nov-14,1190000,1211000,1182000,1201000,222634
25-Nov-14,1224000,1224000,1190000,1190000,348025
24-Nov-14,1247000,1248000,1210000,1220000,204444
21-Nov-14,1219000,1226000,1217000,1223000,183372
20-Nov-14,1206000,1220000,1206000,1210000,114872
19-Nov-14,1238000,1238000,1212000,1218000,211706
18-Nov-14,1220000,1227000,1215000,1220000,202657
17-Nov-14,1190000,1220000,1182000,1205000,190967
14-Nov-14,1201000,1201000,1180000,1194000,180992
13-Nov-14,1228000,1232000,1199000,1200000,230151
12-Nov-14,1231000,1234000,1219000,1230000,181449
11-Nov-14,1255000,1261000,1227000,1231000,223970
10-Nov-14,1226000,1269000,1222000,1268000,352318
07-Nov-14,1218000,1218000,1195000,1206000,107688
06-Nov-14,1198000,1210000,1193000,1204000,168497
05-Nov-14,1215000,1225000,1194000,1202000,187182
04-Nov-14,1219000,1242000,1205000,1217000,237045
03-Nov-14,1250000,1252000,1216000,1235000,263940
